English,Ukrainian
more,более
down,вниз
very,очень
only,только
over,над
little,маленький
love,любовь
mean,иметь в виду
sorry,извини
off,выключенный
thank,благодарить
two,два
much,много
sure,конечно
these,эти
first,первый
anything,что-либо
find,находить
nothing,ничего
day,день
work,работа
uh,Эм-м-м
maybe,может быть
before,до
wait,ждать
call,вызов
won,выиграл
away,прочь
thought,мысль
night,ночь
great,большой
last,последний
everything,все
mr.,Мистер.
things,вещи
keep,держать
years,годы
does,делает
around,вокруг
name,имя
ever,всегда
guys,ребята
guy,парень
old,старый
which,который
lot,много
hello,привет
believe,полагать
someone,кто-то
thanks,Спасибо
kind,добрый
house,дом
ok,хорошо
being,существование
stay,оставаться
dad,папа
happened,случилось
may,может
wrong,неправильный
bad,плохой
three,три
listen,слушать
understand,понимать
remember,помнить
own,собственный
show,показывать
kill,убийство
found,найденный
getting,получающий
car,машина
son,сын
woman,женщина
hi,привет
many,много
wasn,был
best,лучший
hell,ад
trying,пытающийся
together,вместе
job,работа
family,семья
without,без
room,комната
already,уже
most,большинство
live,жить
actually,на самом деле
shit,дерьмо
heard,слышал
ready,готовый
called,называется
idea,идея
hold,держать
door,дверь
